Station,Code,In station_base,In output,Shared by both,shared_by_all_three,in_sh_price_info,lng,lat,Province,Geographical Zone,City,District,Address
大西,,True,False,False,False,False,130.582031,45.843922,黑龙江省,东北,七台河市,勃利县,七台河市-勃利县
上仓,,True,False,False,False,False,117.411018,39.91069,天津市,华北,天津市,蓟州区,天津市-蓟州区-上仓乡
松原北,OCT,True,True,True,False,False,124.997122,45.106619,吉林省,东北,松原市,宁江区,松原市-宁江区-善友镇新屯村
固始,GXN,True,True,True,True,True,115.669483,31.915029,河南省,华中,信阳市,固始县,信阳市-固始县-段集镇香樟大道
青铜峡,QTJ,True,True,True,True,True,105.932219,37.918421,宁夏回族自治区,西北,吴忠市,青铜峡市,吴忠市-青铜峡市-艾山街
章党,ZHT,True,True,True,False,False,124.077538,41.907791,辽宁省,东北,抚顺市,东洲区,抚顺市-东洲区-章党路3号
正定机场,ZHP,True,True,True,False,False,114.709946,38.252234,河北省,华北,石家庄市,正定县,石家庄市-正定县-昌盛路
仲恺,KKQ,True,True,True,False,False,113.439018,23.387247,广东省,华南,惠州市,惠城区,惠州市-惠城区-仲恺高新区潼侨镇
新民北,XOT,True,True,True,False,False,122.833155,41.992853,辽宁省,东北,沈阳市,新民市,沈阳市-新民市-后营子村附近
哈尔滨东,VBB,True,True,True,False,False,126.713297,45.786458,黑龙江省,东北,哈尔滨市,道外区,哈尔滨市-道外区-桦树街1号
昆山,KSH,True,True,True,True,True,120.957634,31.366179,江苏省,华东,苏州市,昆山市,苏州市-昆山市-人民南路1号
惠农,HMJ,True,True,True,False,False,106.727746,39.262088,宁夏回族自治区,西北,石嘴山市,惠农区,石嘴山市-惠农区-西火路
平遥,PYV,True,True,True,False,False,112.168147,37.206835,山西省,华北,晋中市,平遥县,晋中市-平遥县-中都路14号
荷塘,KXQ,True,True,True,False,False,113.166466,27.850957,湖南省,华中,湘潭市,岳塘区,湘潭市-岳塘区-芙蓉大道与北二环交汇口以北
攸县南,YXG,True,True,True,True,True,113.341195,26.843366,湖南省,华中,株洲市,攸县,株洲市-攸县-渌田镇车站一路
乌兰,,True,False,False,False,False,98.467146,36.95367,青海省,西北,海西蒙古族藏族自治州,乌兰县,海西蒙古族藏族自治州-乌兰县-希里沟镇
桃园,,True,False,False,False,False,121.096519,41.113209,广东省,华南,深圳市,南山区,
白音察干,BYC,True,True,True,False,False,113.185425,41.455448,内蒙古自治区,华北,乌兰察布市,察哈尔右翼后旗,乌兰察布市-察哈尔右翼后旗-白音察干镇迎宾街
齐哈日格图,,True,False,False,False,False,112.358505,43.234009,内蒙古自治区,华北,锡林郭勒盟,二连浩特市,锡林郭勒盟-二连浩特市-二广公路附近
西斗铺,,True,False,False,False,False,109.796562,41.220436,内蒙古自治区,华北,包头市,固阳县,包头市-固阳县-西斗铺镇
湘潭北,EDQ,True,True,True,True,True,112.942182,27.964924,湖南省,华中,湘潭市,雨湖区,湘潭市-雨湖区-九华经济技术开发区银盖北路
莱阳,LYK,True,True,True,True,True,120.708923,36.928015,山东省,华东,烟台市,莱阳市,烟台市-莱阳市-荆山路1号
盘锦北,PBD,True,True,True,True,True,121.80797,41.336096,辽宁省,东北,盘锦市,盘山县,盘锦市-盘山县-甜水镇孙家村甜石线
马林,MID,True,True,True,False,False,119.182968,42.274246,内蒙古自治区,华北,赤峰市,元宝山区,赤峰市-元宝山区-元宝山镇玉马线
黄口,KOH,True,True,True,False,False,116.697624,34.359993,安徽省,华东,宿州市,萧县,宿州市-萧县-黄口镇红旗路
通辽,TLD,True,True,True,True,True,122.271978,43.605328,内蒙古自治区,华北,通辽市,科尔沁区,通辽市-科尔沁区-南顺大街14号
打柴沟,DGJ,True,True,True,False,False,102.998962,37.090115,甘肃省,西北,武威市,天祝藏族自治县,武威市-天祝藏族自治县-打柴沟镇
甘草店,GDJ,True,True,True,False,False,104.297089,35.800171,甘肃省,西北,兰州市,榆中县,兰州市-榆中县-甘草店镇
闻喜,WXV,True,True,True,False,False,111.216741,35.356074,山西省,华北,运城市,闻喜县,运城市-闻喜县-新开北路228号
阳平关,YAY,True,True,True,False,False,106.058823,32.975338,陕西省,西北,汉中市,宁强县,汉中市-宁强县-康宁路北50米
黑冲滩,HCJ,True,True,True,False,False,96.76709,40.490284,甘肃省,西北,武威市,古浪县,武威市-古浪县
和田,VTR,True,True,True,False,False,79.906911,37.15792,新疆维吾尔自治区,西北,和田地区,和田市,和田地区-和田市-玫瑰大道
