train_no,origin_station,destination_station,station_train_code
6c000D375808,广州南,柳州,D3758
71000D375906,柳州,广州南,D3759
6c000D376008,广州南,柳州,D3760
71000D37610B,柳州,广州南,D3761
6c000D376203,广州南,桂林北,D3762
71000D376303,柳州,广州南,D3763
6c000D376408,广州南,柳州,D3764
71000D378406,百色,广州南,D3781
6c000D378205,广州南,百色,D3782
6c000D378205,广州南,百色,D3783
71000D378406,百色,广州南,D3784
71000D378805,百色,广州南,D3785
6c000D378604,广州南,百色,D3786
6c000D378604,广州南,百色,D3787
71000D378805,百色,广州南,D3788
71000D379205,百色,广州南,D3789
6c000D379000,广州南,百色,D3790
6c000D379000,广州南,百色,D3791
71000D379205,百色,广州南,D3792
71000D379601,百色,广州南,D3793
71000D379601,百色,广州南,D3796
80000D380403,昆明南,广州南,D3801
6c000D380207,广州南,大理,D3802
6c000D380207,广州南,大理,D3803
80000D380403,昆明南,广州南,D3804
6c000D380606,广州南,昆明南,D3806
6c000D380606,广州南,昆明南,D3807
80000D381206,昆明南,珠海,D3809
6c000D381005,广州南,大理,D3810
6c000D381005,广州南,大理,D3811
80000D381206,昆明南,珠海,D3812
80000D381608,昆明南,广州南,D3813
80000D381608,昆明南,广州南,D3816
80000D382006,昆明南,广州南,D3817
6c000D381807,广州南,大理,D3818
6c000D381807,广州南,大理,D3819
80000D382006,昆明南,广州南,D3820
80000D382407,昆明南,广州南,D3821
6c000D382206,广州南,昆明南,D3822
6c000D382206,广州南,昆明南,D3823
80000D382407,昆明南,广州南,D3824
80000D382808,昆明南,广州南,D3825
6c000D382608,广州南,昆明南,D3826
6c000D382608,广州南,昆明南,D3827
80000D382808,昆明南,广州南,D3828
80000D383208,昆明南,广州南,D3829
6c000D383008,广州南,昆明南,D3830
6c000D383008,广州南,昆明南,D3831
80000D383208,昆明南,广州南,D3832
80000D384006,昆明南,广州南,D3837
6c000D383802,广州南,昆明南,D3838
6c000D383802,广州南,昆明南,D3839
80000D384006,昆明南,广州南,D3840
8c000D384404,大理,广州南,D3841
6e000D384201,珠海,昆明南,D3842
6e000D384201,珠海,昆明南,D3843
8c000D384404,大理,广州南,D3844
6c000D384606,广州南,昆明南,D3846
6c000D384606,广州南,昆明南,D3847
8c000D385203,大理,广州南,D3849
6c000D385002,广州南,昆明南,D3850
6c000D385002,广州南,昆明南,D3851
8c000D385203,大理,广州南,D3852
8c000D385603,大理,广州南,D3853
8c000D385603,大理,广州南,D3856
80000D386005,昆明南,广州南,D3857
6c000D385807,广州南,昆明南,D3858
6c000D385807,广州南,昆明南,D3859
80000D386005,昆明南,广州南,D3860
6c000D386208,广州南,昆明南,D3862
6c000D386208,广州南,昆明南,D3863
71000D390301,桂林北,昆明南,D3903
80000D390401,昆明南,桂林北,D3904
71000D390500,柳州,昆明南,D3905
80000D390601,昆明南,桂林北,D3906
80000D391001,昆明南,南宁东,D3910
73000D392201,北海,昆明南,D3922
73000D392201,北海,昆明南,D3923
80000D392801,昆明南,北海,D3925
80000D392801,昆明南,北海,D3928
8c000D393401,大理,衡阳东,D3931
71000D393301,南宁东,大理,D3932
71000D393301,南宁东,大理,D3933
8c000D393401,大理,衡阳东,D3934
8c000D393801,大理,北海,D3935
71000D393701,柳州,大理,D3936
71000D393701,柳州,大理,D3937
8c000D393801,大理,北海,D3938
71000D394104,桂林北,丽江,D3940
71000D394104,桂林北,丽江,D3941
8c000D394201,丽江,桂林北,D3942
8c000D394601,大理,桂林北,D3943
8c000D394601,大理,桂林北,D3946
71000D394900,桂林北,大理,D3948
71000D394900,桂林北,大理,D3949
73000D395606,北海,大理,D3956
73000D395606,北海,大理,D3957
8c000D395801,大理,柳州,D3958
6c000D396102,衡阳东,大理,D3960
6c000D396102,衡阳东,大理,D3961
8c000D396201,大理,南宁东,D3962
77000D502700,重庆北,阆中,D5027
76000D502800,阆中,重庆北,D5028
77000D503100,重庆北,广元,D5031
76000D503200,广元,重庆北,D5032
77000D503300,重庆北,广元,D5033
76000D503400,广元,重庆北,D5034
76000D505200,南充北,重庆北,D5052
77000D505300,重庆北,阆中,D5053
76000D505400,阆中,南充北,D5054
76000D505800,成都东,南充北,D5055
76000D505600,阆中,成都东,D5056
76000D505600,阆中,成都东,D5057
76000D505800,成都东,南充北,D5058
4a000D50810I,延安,西安北,D5081
4f000D508208,西安北,延安,D5082
4a000D50830H,延安,西安北,D5083
4f000D508609,西安北,延安,D5086
4a000D50870D,延安,西安北,D5087
4f000D509211,西安北,延安,D5092
76000D51020K,成都东,丰都,D5102
77000D51030N,重庆西,成都东,D5103
76000D510424,成都东,重庆西,D5104
77000D510510,重庆北,成都东,D5105
76000D511660,成都东,阆中,D5113
76000D511420,阆中,成都东,D5114
76000D511420,阆中,成都东,D5115
76000D511660,成都东,阆中,D5116
77000D51170A,重庆北,遂宁,D5117
7m000D511810,遂宁,重庆北,D5118
76000D51240O,成都东,苍溪,D5121
76000D51220O,苍溪,成都东,D5122
76000D51220O,苍溪,成都东,D5123
76000D51240O,成都东,苍溪,D5124
76000D51280U,成都东,阆中,D5125
76000D51260C,阆中,成都东,D5126
76000D51260C,阆中,成都东,D5127
76000D51280U,成都东,阆中,D5128
76000D51340Y,广元,成都东,D5134
76000D51340Y,广元,成都东,D5135
7m000D513702,营山,重庆北,D5137
77000D513908,重庆北,营山,D5138
77000D513908,重庆北,营山,D5139
7m000D513702,营山,重庆北,D5140
77000D51410D,重庆北,合川,D5141
77000D514206,合川,重庆北,D5142
77000D514570,重庆北,潼南,D5145
77000D514620,潼南,重庆北,D5146
77000D514709,重庆北,潼南,D5147
77000D514802,潼南,重庆北,D5148
7m000D515103,营山,广安南,D5150
7m000D515103,营山,广安南,D5151
7m000D515208,南充,达州,D5152
7m000D515320,营山,成都东,D5153
76000D515410,成都东,营山,D5154
76000D515605,成都东,营山,D5156
76000D515905,武胜,成都东,D5158
76000D515905,武胜,成都东,D5159
76000D516003,成都东,武胜,D5160
7m000D516106,南充,成都东,D5161
76000D516220,成都东,南充,D5162
77000D517107,广安南,成都东,D5171
76000D51720A,成都东,广安南,D5172
77000D517308,广安南,成都东,D5173
76000D51740O,成都东,广安南,D5174
77000D517504,广安南,成都东,D5175
76000D517605,成都东,广安南,D5176
77000D517703,广安南,成都东,D5177
76000D517804,成都东,广安南,D5178
77000D517907,广安南,成都东,D5179
76000D518005,成都东,广安南,D5180
77000D518108,达州,成都东,D5181
76000D518200,成都东,达州,D5182
76000D518410,成都东,达州,D5184
77000D51850A,达州,成都东,D5185
77000D51870Z,达州,成都东,D5187
76000D518808,成都东,达州,D5188
76000D51900X,成都东,达州,D5190
77000D51910H,达州,成都东,D5191
76000D519209,成都东,达州,D5192
77000D519310,达州,成都东,D5193
76000D519406,成都东,达州,D5194
77000D51950Q,达州,成都东,D5195
76000D51960R,成都东,达州,D5196
77000D51970L,达州,成都东,D5197
77000D519920,达州,成都东,D5199
42000D520450,襄阳东,武汉,D5201
4e000D520200,武汉,襄阳东,D5202
4e000D520200,武汉,襄阳东,D5203
42000D520450,襄阳东,武汉,D5204
4e000D520600,武汉,襄阳东,D5206
4e000D520600,武汉,襄阳东,D5207
42000D521406,襄阳,黄冈东,D5211
39000D521200,阳新,襄阳,D5212
39000D521200,阳新,襄阳,D5213
42000D521406,襄阳,黄冈东,D5214
42000D52180B,襄阳,武汉,D5215
42000D52180B,襄阳,武汉,D5218
42000D522420,襄阳东,武汉,D5221
39000D522200,黄冈东,襄阳东,D5222
39000D522200,黄冈东,襄阳东,D5223
42000D522420,襄阳东,武汉,D5224
42000D522800,十堰,武汉,D5225
4e000D522601,武汉,十堰,D5226
4e000D522601,武汉,十堰,D5227
42000D522800,十堰,武汉,D5228
39000D523300,汉口,襄阳,D5233
42000D523410,襄阳,汉口,D5234
39000D523500,汉口,襄阳,D5235
39000D524100,汉口,十堰,D5241
42000D524200,十堰,汉口,D5242
39000D524302,汉口,十堰,D5243
42000D52440J,十堰,汉口,D5244
42000D524630,十堰,汉口,D5246
42000D525007,襄阳,汉口,D5250
39000D52510D,汉口,襄阳,D5251
42000D52520C,襄阳,汉口,D5252
39000D525310,汉口,襄阳,D5253
42000D525403,襄阳,汉口,D5254
42000D527420,襄阳,武昌,D5271
39000D527200,武昌,襄阳,D5272
39000D527200,武昌,襄阳,D5273
42000D527420,襄阳,武昌,D5274
42000D527820,襄阳,武昌,D5275
39000D527610,武昌,襄阳,D5276
39000D527610,武昌,襄阳,D5277
42000D527820,襄阳,武昌,D5278
39000D528200,武昌,十堰,D5282
39000D528200,武昌,十堰,D5283
42000D529410,襄阳,武昌,D5291
42000D529410,襄阳,武昌,D5294
28000D530302,怀仁东,运城北,D5303
27000D530521,原平西,运城北,D5305
27000D530622,太原南,怀仁东,D5306
27000D530731,原平西,太原南,D5307
27000D530812,运城北,原平西,D5308
27000D531230,运城北,太原南,D5312
27000D531407,运城北,太原南,D5314
27000D5317A1,太原南,运城北,D5317
27000D531823,运城北,太原南,D5318
27000D531912,太原南,永济北,D5319
27000D532095,运城北,太原南,D5320
27000D532122,太原南,运城北,D5321
27000D532223,运城北,太原南,D5322
27000D532311,太原南,运城北,D5323
27000D532401,运城北,太原南,D5324
27000D532514,太原南,运城北,D5325
27000D532622,永济北,太原南,D5326
27000D532713,太原南,运城北,D5327
27000D532831,闻喜西,太原南,D5328
27000D532902,太原南,运城北,D5329
27000D533002,运城北,太原南,D5330
27000D533111,太原南,运城北,D5331
27000D533212,运城北,太原南,D5332
27000D533391,太原南,闻喜西,D5333
27000D533481,临汾西,太原南,D5334
27000D533541,太原南,临汾西,D5335
27000D533611,运城北,太原南,D5336
27000D533702,太原南,运城北,D5337
27000D534212,运城北,太原南,D5342
27000D534301,太原南,运城北,D5343
27000D534700,太原南,运城北,D5347
28000D535102,怀仁东,洪洞西,D5351
27000D535201,太原南,怀仁东,D5352
28000D535501,怀仁东,太原南,D5355
27000D535651,洪洞西,怀仁东,D5356
02000D538404,佳木斯,齐齐哈尔,D5381
04000D538204,齐齐哈尔,佳木斯,D5382
04000D538204,齐齐哈尔,佳木斯,D5383
02000D538404,佳木斯,齐齐哈尔,D5384
03000D538803,绥芬河,齐齐哈尔,D5385
04000D538603,齐齐哈尔,绥芬河,D5386
04000D538603,齐齐哈尔,绥芬河,D5387
03000D538803,绥芬河,齐齐哈尔,D5388
56000D540700,杭州,开化,D5407
56000D540800,开化,杭州,D5408
5f000D543440,启东,南京,D5431
54000D543250,南京,启东,D5432
54000D543250,南京,启东,D5433
5f000D543440,启东,南京,D5434
5f000D543850,启东,南京,D5435
54000D543660,南京,启东,D5436
54000D543660,南京,启东,D5437
5f000D543850,启东,南京,D5438
5f000D544400,启东,南京,D5441
54000D544200,南京,启东,D5442
54000D544200,南京,启东,D5443
5f000D544400,启东,南京,D5444
5f000D544800,启东,南京,D5445
54000D544600,南京,启东,D5446
54000D544600,南京,启东,D5447
5f000D544800,启东,南京,D5448
5f000D545450,启东,南京,D5451
54000D545260,南京,南通,D5452
54000D545260,南京,南通,D5453
5f000D545450,启东,南京,D5454
5f000D546460,扬州,南京,D5461
54000D546250,南京,扬州,D5462
54000D546250,南京,扬州,D5463
5f000D546460,扬州,南京,D5464
5f000D546500,南通,启东,D5465
5f000D546700,南通,启东,D5467
5f000D546840,启东,南通,D5468
5i000D549520,合肥南,六安,D5495
5i000D549742,合肥南,六安,D5497
5l000D549911,南京南,合肥南,D5499
5i000D550001,合肥南,南京南,D5500
5f000D550422,南通,南京,D5501
54000D550233,南京,南通,D5502
54000D550233,南京,南通,D5503
5f000D550422,南通,南京,D5504
5f000D551451,南通,南京,D5511
54000D551222,南京,南通,D5512
54000D551222,南京,南通,D5513
5f000D551451,南通,南京,D5514
5f000D552432,南通,南京,D5521
54000D552243,南京,南通,D5522
54000D552243,南京,南通,D5523
